Date,Open,High,Low,Close,Shares Traded,Turnover (â‚¹ Cr)
2024-01-30,21775.75,21813.05,21501.8,21522.1,375137333.0,32916.3
2024-01-31,21487.25,21741.35,21448.85,21725.7,410583065.0,41587.85
2024-02-01,21780.65,21832.95,21658.75,21697.45,332541208.0,34042.15
2024-02-02,21812.75,22126.8,21805.55,21853.8,442794738.0,38395.9
2024-02-05,21921.05,21964.3,21726.95,21771.7,440849699.0,33807.94
2024-02-06,21825.2,21951.4,21737.55,21929.4,370968111.0,32910.82
2024-02-07,22045.05,22053.3,21860.15,21930.5,346263704.0,30088.76
2024-02-08,22009.65,22011.05,21665.3,21717.95,491069786.0,41082.02
2024-02-09,21727.0,21804.45,21629.9,21782.5,349222850.0,31176.16
2024-02-12,21800.8,21831.7,21574.75,21616.05,287436165.0,23921.14
2024-02-13,21664.3,21766.8,21543.35,21743.25,365785766.0,29896.62
2024-02-14,21578.15,21870.85,21530.2,21840.05,359120861.0,32535.0
2024-02-15,21906.55,21953.85,21794.8,21910.75,345394395.0,29559.69
2024-02-16,22020.3,22068.65,21968.95,22040.7,295705319.0,29896.62
2024-02-19,22103.45,22186.65,22021.05,22122.25,218252325.0,21375.71
2024-02-20,22099.2,22215.6,22045.85,22196.95,295705319.0,26872.32
2024-02-21,22248.85,22249.4,21997.95,22055.05,364545679.0,29741.39
2024-02-22,22081.55,22252.5,21875.25,22217.45,343495136.0,33985.94
2024-02-23,22290.0,22297.5,22186.1,22212.7,225983194.0,24617.01
2024-02-26,22169.2,22202.15,22075.15,22122.05,207775504.0,20850.26
2024-02-27,22090.2,22218.25,22085.65,22198.35,252199186.0,24620.71
2024-02-28,22214.1,22229.15,21915.85,21951.15,202952371.0,20579.8
2024-02-29,21935.2,22060.55,21860.65,21982.8,360165824.0,40196.12
2024-03-01,22048.3,22353.3,22047.75,22338.75,351503075.0,29646.47
2024-03-02,22406.95,22419.55,22367.05,22378.4,35763814.0,1918.77
2024-03-04,22403.5,22440.9,22358.3,22405.6,298794435.0,23771.71
2024-03-05,22371.25,22416.9,22269.15,22356.3,296153036.0,29165.37
2024-03-06,22327.5,22497.2,22224.35,22474.05,312262560.0,31029.01
2024-03-07,22505.3,22525.65,22430.0,22493.55,379865142.0,33558.46
2024-03-11,22517.5,22526.6,22307.25,22332.65,277897373.0,27222.37
2024-03-12,22334.45,22452.55,22256.0,22335.7,299201167.0,29781.12
2024-03-13,22432.2,22446.75,21905.65,21997.7,493341697.0,40109.23
2024-03-14,21982.55,22204.6,21917.5,22146.65,426742460.0,37348.3
2024-03-15,22064.85,22120.9,21931.7,22023.35,661460455.0,60260.88
2024-03-18,21990.1,22123.7,21916.55,22055.7,356321519.0,23015.51
2024-03-19,21946.45,21978.3,21793.1,21817.45,344157465.0,30291.6
2024-03-20,21843.9,21930.9,21710.2,21839.1,312414696.0,28939.85
2024-03-21,21989.9,22080.95,21941.3,22011.95,353172434.0,31258.4
2024-03-22,21932.2,22180.7,21883.3,22096.75,388656439.0,39023.19
2024-03-26,21947.9,22073.2,21947.55,22004.7,328403719.0,33382.08
2024-03-27,22053.95,22193.6,22052.85,22123.65,409136866.0,38830.73
2024-03-28,22163.6,22516.0,22163.6,22326.9,407422815.0,45656.57
2024-04-01,22455.0,22529.95,22427.75,22462.0,243637071.0,21420.69
2024-04-02,22458.8,22497.6,22388.15,22453.3,289524237.0,27940.93
2024-04-03,22385.7,22521.1,22346.5,22434.65,309647491.0,30793.28
2024-04-04,22592.1,22619.0,22303.8,22514.65,400986156.0,40705.56
2024-04-05,22486.4,22537.6,22427.6,22513.7,242244731.0,24797.82
2024-04-08,22578.35,22697.3,22550.35,22666.3,227633561.0,22480.2
2024-04-09,22765.1,22768.4,22612.25,22642.75,232356772.0,21651.69
2024-04-10,22720.25,22775.7,22673.7,22753.8,276847931.0,25355.05
2024-04-12,22677.4,22726.45,22503.75,22519.4,357187778.0,36456.91
2024-04-15,22339.05,22427.45,22259.55,22272.5,355465814.0,29474.59
2024-04-16,22125.3,22213.75,22079.45,22147.9,317267066.0,28661.04
2024-04-18,22212.35,22326.5,21961.7,21995.85,456906707.0,43314.67
2024-04-19,21861.5,22179.55,21777.65,22147.0,362530569.0,36073.63
2024-04-22,22336.9,22375.65,22198.15,22336.4,279259571.0,26841.2
2024-04-23,22447.05,22447.55,22349.45,22368.0,231520813.0,25651.64
2024-04-24,22421.55,22476.45,22384.0,22402.4,235898642.0,21925.6
2024-04-25,22316.9,22625.95,22305.25,22570.35,475044740.0,53803.8
2024-04-26,22620.4,22620.4,22385.55,22419.95,329887340.0,36984.89
2024-04-29,22475.55,22655.8,22441.9,22643.4,291957361.0,32431.45
2024-04-30,22679.65,22783.35,22568.4,22604.85,361859375.0,38741.7
2024-05-02,22567.85,22710.5,22567.85,22648.2,445909456.0,43133.31
2024-05-03,22766.35,22794.7,22348.05,22475.85,438060727.0,44432.55
2024-05-06,22561.6,22588.8,22409.45,22442.7,320255789.0,33417.53
2024-05-07,22489.75,22499.05,22232.05,22302.5,297815469.0,31512.26
2024-05-08,22231.2,22368.65,22185.2,22302.5,277438692.0,29717.33
2024-05-09,22224.8,22307.75,21932.4,21957.5,331327454.0,37870.88
2024-05-10,21990.95,22131.3,21950.3,22055.2,265804411.0,28717.71
2024-05-13,22027.95,22131.65,21821.05,22104.05,278186886.0,29036.08
2024-05-14,22112.9,22270.05,22081.25,22217.85,230238941.0,23741.66
2024-05-15,22255.6,22297.55,22151.75,22200.55,231935478.0,23815.79
2024-05-16,22319.2,22432.25,22054.55,22403.85,368945092.0,38836.11
2024-05-17,22415.25,22502.15,22345.65,22466.1,242654570.0,27388.67
2024-05-18,22512.85,22520.25,22470.05,22502.0,19064566.0,1572.77
2024-05-21,22404.55,22591.1,22404.55,22529.05,347591587.0,30782.35
2024-05-22,22576.6,22629.5,22483.15,22597.8,290345590.0,28556.14
2024-05-23,22614.1,22993.6,22577.45,22967.65,369767547.0,39157.65
2024-05-24,22930.75,23026.4,22908.0,22957.1,261927120.0,27966.99
2024-05-27,23038.95,23110.8,22871.2,22932.45,260006078.0,27204.54
2024-05-28,22977.15,22998.55,22858.5,22888.15,217890750.0,23054.65
2024-05-29,22762.75,22825.5,22685.45,22704.7,269932784.0,27549.09
2024-05-30,22617.45,22705.75,22417.0,22488.65,373374457.0,32991.46
2024-05-31,22568.1,22653.75,22465.1,22530.7,572122639.0,67040.32
2024-06-03,23337.9,23338.7,23062.3,23263.9,569425569.0,56418.25
2024-06-04,23179.5,23179.5,21281.45,21884.5,1006105058.0,93786.44
2024-06-05,22128.35,22670.4,21791.95,22620.35,638487077.0,64326.85
2024-06-06,22798.6,22910.15,22642.6,22821.4,480413289.0,49047.39
2024-06-07,22821.85,23320.2,22789.05,23290.15,473554898.0,47621.54
2024-06-10,23319.15,23411.9,23227.15,23259.2,304392368.0,29060.4
2024-06-11,23283.75,23389.45,23206.65,23264.85,305185666.0,29190.91
2024-06-12,23344.45,23441.95,23295.95,23322.95,295630910.0,31795.48
2024-06-13,23480.95,23481.05,23353.9,23398.9,268279841.0,30151.67
2024-06-14,23464.95,23490.4,23334.25,23465.6,223086741.0,25746.34
2024-06-18,23570.8,23579.05,23499.7,23557.9,272207297.0,29389.75
2024-06-19,23629.85,23664.0,23412.9,23516.0,328811255.0,39430.39
2024-06-20,23586.15,23624.0,23442.6,23567.0,280336970.0,33390.07
2024-06-21,23661.15,23667.1,23398.2,23501.1,609877803.0,70062.97
2024-06-24,23382.3,23558.1,23350.0,23537.85,239358460.0,24862.37
2024-06-25,23577.1,23754.15,23562.05,23721.3,298111025.0,34263.36
2024-06-26,23723.1,23889.9,23670.45,23868.8,287824687.0,33979.62
2024-06-27,23881.55,24087.45,23805.4,24044.5,515227010.0,61216.71
2024-06-28,24085.9,24174.0,23985.8,24010.6,354779832.0,41242.87
2024-07-01,23992.95,24164.0,23992.7,24141.95,242468081.0,28204.06
2024-07-02,24228.75,24236.35,24056.4,24123.85,309629240.0,34838.65
2024-07-03,24291.75,24309.15,24207.1,24286.5,289201551.0,36661.17
2024-07-04,24369.95,24401.0,24281.0,24302.15,251189844.0,28466.6
2024-07-05,24213.35,24363.0,24168.85,24323.85,298381204.0,32052.48
2024-07-08,24329.45,24344.6,24240.55,24320.55,266299131.0,26356.03
2024-07-09,24351.0,24443.6,24331.9,24433.2,250537091.0,29361.08
2024-07-10,24459.85,24461.05,24141.8,24324.45,292263786.0,35358.54
2024-07-11,24396.55,24402.65,24193.75,24315.95,306404194.0,32115.44
2024-07-12,24387.95,24592.2,24331.15,24502.15,325823474.0,39565.33
2024-07-15,24587.6,24635.05,24522.75,24586.7,305395934.0,31593.04
2024-07-16,24615.9,24661.25,24587.65,24613.0,283212233.0,28668.71
2024-07-18,24543.8,24837.75,24504.45,24800.85,350924425.0,40477.17
2024-07-19,24853.8,24854.8,24508.15,24530.9,343772965.0,33588.08
2024-07-22,24445.75,24595.2,24362.3,24509.25,324190553.0,32496.23
2024-07-23,24568.9,24582.55,24074.2,24479.05,436408768.0,44921.42
2024-07-24,24444.95,24504.25,24307.25,24413.5,366616574.0,39538.11
2024-07-25,24230.95,24426.15,24210.8,24406.1,391821970.0,37853.62
2024-07-26,24423.35,24861.15,24410.9,24834.85,383826136.0,42118.36
2024-07-29,24943.3,24999.75,24774.6,24836.1,354966070.0,37102.92
2024-07-30,24839.4,24971.75,24798.65,24857.3,384989431.0,37576.58
2024-07-31,24886.7,24984.6,24856.5,24951.15,333646302.0,35411.32
2024-08-01,25030.95,25078.3,24956.4,25010.9,431313292.0,38822.9
2024-08-02,24789.0,24851.9,24686.85,24717.7,345027881.0,35368.54
2024-08-05,24302.85,24350.05,23893.7,24055.6,486994718.0,45066.65
2024-08-06,24189.85,24382.6,23960.4,23992.55,312339387.0,31553.65
2024-08-07,24289.4,24337.7,24184.9,24297.5,317564429.0,29738.85
2024-08-08,24248.55,24340.5,24079.7,24117.0,311875940.0,30858.18
2024-08-09,24386.85,24419.75,24311.2,24367.5,215129992.0,22339.19
2024-08-12,24320.05,24472.8,24212.1,24347.0,279925100.0,30311.85
2024-08-13,24342.35,24359.95,24116.5,24139.0,239727640.0,25459.58
2024-08-14,24184.4,24196.5,24099.7,24143.75,303254705.0,27834.61
2024-08-16,24334.85,24563.9,24204.5,24541.15,271611087.0,28521.9
2024-08-19,24636.35,24638.8,24522.95,24572.65,243645503.0,22124.41
2024-08-20,24648.9,24734.3,24607.2,24698.85,238318940.0,25478.73
2024-08-21,24680.55,24787.95,24654.5,24770.2,257114212.0,27404.63
2024-08-22,24863.4,24867.35,24784.45,24811.5,220345125.0,24227.03
2024-08-23,24845.4,24858.4,24771.65,24823.15,206800655.0,23134.22
2024-08-26,24906.1,25043.8,24874.7,25010.6,210266456.0,22166.86
2024-08-27,25024.8,25073.1,24973.65,25017.75,223346636.0,26695.0
2024-08-28,25030.8,25129.6,24964.65,25052.35,220419448.0,26994.19
2024-08-29,25035.3,25192.9,24998.5,25151.95,353993900.0,43221.73
2024-08-30,25249.7,25268.35,25199.4,25235.9,638166179.0,89554.91
2024-09-02,25333.6,25333.65,25235.5,25278.7,222815249.0,28187.71
2024-09-03,25313.4,25321.7,25235.8,25279.85,212131921.0,27276.14
2024-09-04,25089.95,25216.0,25083.8,25198.7,253788501.0,26293.35
2024-09-05,25250.5,25275.45,25127.75,25145.1,222242223.0,26272.38
2024-09-06,25093.7,25168.75,24801.3,24852.15,311671856.0,33001.17
2024-09-09,24823.4,24957.5,24753.15,24936.4,254367252.0,25180.28
2024-09-10,24999.4,25130.5,24896.8,25041.1,251274802.0,27846.31
2024-09-11,25034.0,25113.7,24885.15,24918.45,279229206.0,29395.73
2024-09-12,25059.65,25433.35,24941.45,25388.9,380069653.0,41747.91
2024-09-13,25430.45,25430.5,25292.45,25356.5,250781898.0,25530.69
2024-09-16,25406.65,25445.7,25336.2,25383.75,168694880.0,18705.01
2024-09-17,25416.9,25441.65,25352.25,25418.55,215956868.0,25280.83
2024-09-18,25402.4,25482.2,25285.55,25377.55,215727159.0,28832.0
2024-09-19,25487.05,25611.95,25376.05,25415.8,314461263.0,34389.27
2024-09-20,25525.95,25849.25,25426.6,25790.95,533067422.0,68915.27
2024-09-23,25872.55,25956.0,25847.35,25939.05,209187756.0,24825.74
2024-09-24,25921.45,26011.55,25886.85,25940.4,384115033.0,35573.63
2024-09-25,25899.45,26032.8,25871.35,26004.15,278540972.0,27868.08
2024-09-26,26005.4,26250.9,25998.4,26216.05,370895477.0,40838.36
2024-09-27,26248.25,26277.35,26151.4,26178.95,490332370.0,55420.63
2024-09-30,26061.3,26134.7,25794.1,25810.85,375370974.0,36028.06
2024-10-01,25788.45,25907.6,25739.2,25796.9,247423786.0,27473.29
2024-10-03,25452.85,25639.45,25230.3,25250.1,423395030.0,45689.5
2024-10-04,25181.9,25485.05,24966.8,25014.6,374914801.0,42719.71
2024-10-07,25084.1,25143.0,24694.35,24795.75,374345795.0,40550.24
2024-10-08,24832.2,25044.0,24756.8,25013.15,333220055.0,33493.36
2024-10-09,25065.8,25234.05,24947.7,24981.95,290562844.0,30877.63
2024-10-10,25067.05,25134.05,24979.4,24998.45,261364749.0,28046.45
2024-10-11,24985.3,25028.65,24920.05,24964.25,210462717.0,21734.97
2024-10-14,25023.45,25159.75,25017.5,25127.95,206423311.0,21270.9
2024-10-15,25186.3,25212.05,25008.15,25057.35,257228772.0,29113.88
2024-10-16,25008.55,25093.4,24908.45,24971.3,226774456.0,24115.83
2024-10-17,25027.4,25029.5,24728.9,24749.85,252755662.0,32606.34
2024-10-18,24664.95,24886.2,24567.65,24854.05,290855392.0,31772.76
2024-10-21,24956.15,24978.3,24679.6,24781.1,241978957.0,32207.22
2024-10-22,24798.65,24882.0,24445.8,24472.1,279484697.0,32801.59
2024-10-23,24378.15,24604.25,24378.1,24435.5,284556771.0,31928.1
2024-10-24,24412.7,24480.65,24341.2,24399.4,216686434.0,27817.66
2024-10-25,24418.05,24440.25,24073.9,24180.8,372642214.0,37068.91
2024-10-28,24251.1,24492.6,24134.9,24339.15,278562235.0,28136.06
2024-10-29,24328.85,24484.5,24140.85,24466.85,332044690.0,35579.48
2024-10-30,24371.45,24498.2,24307.3,24340.85,285196335.0,31068.7
2024-10-31,24349.85,24372.45,24172.6,24205.35,287007588.0,33403.89
2024-11-01,24302.75,24368.25,24280.2,24304.35,38811387.0,3348.45
2024-11-04,24315.75,24316.75,23816.15,23995.35,285531635.0,31561.52
2024-11-05,23916.5,24229.05,23842.75,24213.3,289511197.0,30074.77
2024-11-06,24308.75,24537.6,24204.05,24484.05,351082031.0,34108.84
2024-11-07,24489.6,24503.35,24179.05,24199.35,322185588.0,30971.89
2024-11-08,24207.7,24276.15,24066.65,24148.2,298725122.0,27670.3
2024-11-11,24087.25,24336.8,24004.6,24141.3,273370562.0,26600.28
2024-11-12,24225.8,24242.0,23839.15,23883.45,255825829.0,26852.73
2024-11-13,23822.45,23873.6,23509.6,23559.05,304569316.0,27765.81
2024-11-14,23542.15,23675.9,23484.15,23532.7,257708474.0,24814.37
2024-11-18,23605.3,23606.8,23350.4,23453.8,263311912.0,25257.33
2024-11-19,23529.55,23780.65,23464.8,23518.5,297477279.0,30486.78
2024-11-21,23488.45,23507.3,23263.15,23349.9,420332354.0,40900.89
2024-11-22,23411.8,23956.1,23359.0,23907.25,367562789.0,39257.52
2024-11-25,24253.55,24351.55,24135.45,24221.9,687172787.0,85975.81
2024-11-26,24343.3,24343.3,24125.4,24194.5,230691771.0,24140.67
2024-11-27,24204.8,24354.55,24145.65,24274.9,295011445.0,31149.09
2024-11-28,24274.15,24345.75,23873.35,23914.15,366745300.0,41198.27
2024-11-29,23927.15,24188.45,23927.15,24131.1,282104071.0,30509.98
2024-12-02,24140.85,24301.7,24008.65,24276.05,220384187.0,23162.75
2024-12-03,24367.5,24481.35,24280.0,24457.15,339470947.0,34228.3
2024-12-04,24488.75,24573.2,24366.3,24467.45,348003156.0,34639.78
2024-12-05,24539.15,24857.75,24295.55,24708.4,361469920.0,40471.33
2024-12-06,24729.45,24751.05,24620.5,24677.8,226731303.0,23904.13
2024-12-09,24633.9,24705.0,24580.05,24619.0,248139308.0,25099.79
2024-12-10,24652.65,24677.8,24510.65,24610.05,261048951.0,26093.38
2024-12-11,24620.5,24691.75,24583.85,24641.8,187252712.0,21592.23
2024-12-12,24604.45,24675.25,24527.95,24548.7,266051129.0,28235.17
2024-12-13,24498.35,24792.3,24180.8,24768.3,310080852.0,30429.73
2024-12-16,24753.4,24781.25,24601.75,24668.25,187551629.0,18608.23
2024-12-17,24584.8,24624.1,24303.45,24336.0,264881033.0,26765.16
2024-12-18,24297.95,24394.45,24149.85,24198.85,235346534.0,23315.92
2024-12-19,23877.15,24004.9,23870.3,23951.7,271128027.0,27815.23
2024-12-20,23960.7,24065.8,23537.35,23587.5,442714411.0,47084.68
2024-12-23,23738.2,23869.55,23647.2,23753.45,189758237.0,18243.28
2024-12-24,23769.1,23867.65,23685.15,23727.65,177664746.0,16010.71
2024-12-26,23775.8,23854.5,23653.6,23750.2,177681783.0,16695.1
2024-12-27,23801.4,23938.85,23800.6,23813.4,176821521.0,17164.99
2024-12-30,23796.9,23915.35,23599.3,23644.9,364929453.0,33823.95
2024-12-31,23560.6,23689.85,23460.45,23644.8,193627727.0,18646.79
2025-01-01,23637.65,23822.8,23562.8,23742.9,154921938.0,14266.26
2025-01-02,23783.0,24226.7,23751.55,24188.65,283200811.0,32237.25
2025-01-03,24196.4,24196.45,23976.0,24004.75,312279515.0,29411.99
2025-01-06,24045.8,24089.95,23551.9,23616.05,278061806.0,25853.64
2025-01-07,23679.9,23795.2,23637.8,23707.9,262337253.0,22485.65
2025-01-08,23746.65,23751.85,23496.15,23688.95,266375381.0,24718.54
2025-01-09,23674.75,23689.5,23503.05,23526.5,269239831.0,26793.85
2025-01-10,23551.9,23596.6,23344.35,23431.5,261022434.0,25017.6
2025-01-13,23195.4,23340.95,23047.25,23085.95,316481107.0,26890.37
2025-01-14,23165.9,23264.95,23134.15,23176.05,311235510.0,31174.05
2025-01-15,23250.45,23293.65,23146.45,23213.2,228039156.0,21587.78
2025-01-16,23377.25,23391.65,23272.05,23311.8,299416081.0,29784.82
2025-01-17,23277.1,23292.1,23100.35,23203.2,272945267.0,27040.78
2025-01-20,23290.4,23391.1,23170.65,23344.75,301455455.0,27333.97
2025-01-21,23421.65,23426.3,22976.85,23024.65,312871897.0,30106.72
2025-01-22,23099.15,23169.55,22981.3,23155.35,275951918.0,25462.05
2025-01-23,23128.3,23270.8,23090.65,23205.35,275558357.0,27723.78
2025-01-24,23183.9,23347.3,23050.0,23092.2,264336332.0,24412.46
2025-01-27,22940.15,23007.45,22786.9,22829.15,257372790.0,24202.41
2025-01-28,22960.45,23137.95,22857.65,22957.25,361868609.0,33221.8
2025-01-29,23026.75,23183.35,22976.5,23163.1,251208119.0,22307.38
